Date,Open,High,Low,Close,Adj Close,Volume
2013-06-28,98.540001,99.410004,97.889999,98.800003,89.964172,3947000
2013-07-01,99.199997,99.610001,96.750000,96.970001,88.297821,4309700
2013-07-02,96.529999,98.489998,96.500000,98.419998,89.966057,4620600
2013-07-03,97.540001,98.379997,97.250000,97.889999,89.481575,1357000
2013-07-05,98.500000,99.040001,98.230003,98.709999,90.231133,1841700
2013-07-08,98.879997,99.360001,98.680000,99.190002,90.669937,2846400
2013-07-09,99.870003,101.690002,99.620003,101.400002,92.690063,4047100
2013-07-10,101.260002,102.089996,100.900002,101.489998,92.772354,2428000
2013-07-11,102.589996,103.540001,102.279999,103.339996,94.463440,2058100
2013-07-12,103.169998,103.440002,102.190002,102.949997,94.106949,2336800
2013-07-15,103.209999,103.709999,102.360001,103.269997,94.399452,2401800
2013-07-16,103.370003,103.500000,101.400002,101.580002,92.854630,2732300
2013-07-17,102.000000,103.440002,101.760002,102.940002,94.097794,2393800
2013-07-18,103.029999,103.309998,102.309998,103.029999,94.180069,1751300
2013-07-19,103.000000,104.180000,102.639999,104.160004,95.212990,2145900
2013-07-22,104.000000,104.470001,103.800003,103.930000,95.002747,1490500
2013-07-23,104.139999,104.800003,103.500000,103.900002,94.975319,1703300
2013-07-24,102.639999,102.849998,101.580002,101.739998,93.000854,3156500
2013-07-25,100.389999,101.919998,100.000000,100.709999,92.059341,3288300
2013-07-26,100.599998,100.860001,99.959999,100.510002,91.876541,3669000
2013-07-29,100.279999,101.870003,100.059998,101.559998,92.836327,3589600
2013-07-30,100.250000,100.849998,99.760002,100.430000,91.803391,4206100
2013-07-31,100.940002,100.980003,98.750000,98.779999,90.295128,3420400
2013-08-01,99.529999,100.190002,97.320000,97.370003,89.006233,4249000
2013-08-02,97.500000,98.099998,97.190002,97.459999,89.088509,3381200
2013-08-05,97.680000,97.720001,96.900002,97.250000,88.896530,2549100
2013-08-06,96.620003,96.790001,94.709999,95.019997,86.858086,5935100
2013-08-07,95.080002,95.519997,94.870003,95.000000,86.839821,4198000
2013-08-08,95.510002,97.809998,95.250000,97.339996,88.978790,3654300
2013-08-09,97.120003,97.879997,95.739998,96.250000,87.982445,2682600
2013-08-12,95.610001,96.070000,94.559998,95.680000,87.461403,2955100
2013-08-13,96.300003,97.669998,96.029999,97.099998,88.759430,2568200
2013-08-14,97.209999,97.860001,96.889999,97.019997,88.686295,2195500
2013-08-15,96.150002,98.169998,95.989998,98.050003,89.627846,3599900
2013-08-16,97.550003,97.559998,94.900002,94.989998,86.830673,3248400
